OTU	barcode01.k2.0.1.gtdb.report	barcode02.k2.0.1.gtdb.report	barcode03.k2.0.1.gtdb.report	barcode04.k2.0.1.gtdb.report	barcode05.k2.0.1.gtdb.report	barcode06.k2.0.1.gtdb.report	barcode07.k2.0.1.gtdb.report	barcode08.k2.0.1.gtdb.report	barcode09.k2.0.1.gtdb.report	barcode10.k2.0.1.gtdb.report	barcode11.k2.0.1.gtdb.report	barcode12.k2.0.1.gtdb.report	barcode13.k2.0.1.gtdb.report	barcode14.k2.0.1.gtdb.report	barcode15.k2.0.1.gtdb.report	barcode16.k2.0.1.gtdb.report	barcode17.k2.0.1.gtdb.report	barcode18.k2.0.1.gtdb.report	barcode19.k2.0.1.gtdb.report	barcode20.k2.0.1.gtdb.report	barcode21.k2.0.1.gtdb.report	barcode22.k2.0.1.gtdb.report	barcode23.k2.0.1.gtdb.report	barcode24.k2.0.1.gtdb.report
OTU209	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU210	1	1	4	0	0	25	0	3	18	2	1	4	2	0	11	5	0	4	3	3	8	3	0	0
OTU211	1	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0
OTU212	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
OTU213	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
OTU214	1	0	0	1	2	0	0	1	0	0	0	0	0	1	0	0	0	1	0	2	0	2	0	0
OTU215	16	7	8	4	10	11	5	12	14	7	12	5	14	3	3	11	2	1	16	14	5	11	0	0
OTU216	47	29	31	11	20	37	8	40	38	22	24	14	38	8	17	39	5	9	34	46	19	30	0	0
OTU217	3	6	1	2	1	5	3	4	2	0	5	0	1	2	3	0	5	1	0	4	1	3	0	0
OTU218	1	0	0	0	1	0	0	1	2	2	0	1	2	1	1	1	0	0	0	2	0	1	0	0
OTU219	11	7	10	2	4	9	5	8	2	5	5	4	11	7	8	7	0	4	5	20	7	8	1	1
OTU220	39	74	64	15	24	144	31	85	121	14	45	50	101	12	77	35	14	62	26	79	72	56	0	2
OTU221	6	3	6	1	3	2	4	1	2	3	9	1	4	1	0	7	0	5	9	6	2	3	0	0
OTU222	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
OTU223	29	28	35	5	21	57	21	33	32	25	39	28	16	9	37	24	9	14	17	26	20	32	0	1
OTU224	9	6	11	1	6	14	3	5	9	7	4	2	3	5	10	2	1	6	2	5	4	5	0	0
OTU225	4	3	1	1	0	12	1	1	5	0	0	3	1	0	7	0	0	3	1	1	1	5	0	0
OTU226	3	4	4	3	6	12	2	4	8	4	4	4	2	4	6	4	1	3	3	2	4	1	0	0
OTU227	1	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
