OTU	r	p	c	o	f	g	s
OTU5130	root	Patescibacteria	ABY1	SG8-24	DYFX01	DYFX01	NA
OTU5131	root	Patescibacteria	ABY1	SG8-24	DYFX01	DYFX01	DYFX01_sp020724945
OTU5132	root	Patescibacteria	ABY1	SG8-24	DYFX01	DYFX01	DYFX01_sp030583805
OTU5133	root	Patescibacteria	ABY1	JAHIZJ01	JAHIZJ01	JAQTMH01	JAQTMH01_sp028714495
OTU5134	root	Patescibacteria	ABY1	BM507	UBA12465	UBA12465	UBA12465_sp903904095
OTU5135	root	Patescibacteria	Microgenomatia	NA	NA	NA	NA
OTU5136	root	Patescibacteria	Microgenomatia	Levybacterales	UBA12049	JACDET01	JACDET01_sp013816255
OTU5137	root	Patescibacteria	Microgenomatia	Levybacterales	GWA1-39-11	JAUSNA01	JAUSNA01_sp030645455
OTU5138	root	Patescibacteria	Microgenomatia	GWA2-44-7	UBA8517	NA	NA
OTU5139	root	Patescibacteria	Microgenomatia	GWA2-44-7	UBA8517	GCA-030583725	GCA-030583725_sp030583725
OTU5140	root	Patescibacteria	Microgenomatia	UBA1406	UBA1406	PFEE01	PFEE01_sp024653645
OTU5141	root	Patescibacteria	Microgenomatia	UBA1400	MFAQ01	UBA2277	UBA2277_sp000998275
OTU5142	root	Patescibacteria	Microgenomatia	UBA12405	UBA12405	UBA2283	UBA2283_sp002345725
OTU5143	root	Patescibacteria	Microgenomatia	UBA10105	UBA927	XYB1-FULL-47-11	XYB1-FULL-47-11_sp001779455
OTU5144	root	Patescibacteria	Andersenbacteria	UBA10190	UBA10190	HO2-45-11b	NA
OTU5145	root	Patescibacteria	Andersenbacteria	UBA10190	UBA10190	HO2-45-11b	HO2-45-11b_sp021414205
OTU5146	root	Patescibacteria	WWE3	UBA101185	UBA10185	UBA8498	NA
OTU5147	root	Patescibacteria	JAEDAM01	BD1-5	JAGOOR01	JAGOOR01	NA
OTU5148	root	Spirochaetota	Leptospirae	Leptospirales	Leptospiraceae	NA	NA
OTU5149	root	Spirochaetota	Leptospirae	Leptospirales	Leptospiraceae	Leptospira_B	NA
OTU5150	root	Spirochaetota	Leptospirae	Leptospirales	Leptospiraceae	Leptospira_B	Leptospira_B_hartskeerlii
OTU5151	root	Spirochaetota	Leptospirae	Leptospirales	Leptospiraceae	Leptospira_A	NA
OTU5152	root	Spirochaetota	Leptospirae	Leptospirales	Leptospiraceae	Leptospira_A	Leptospira_A_abararensis
OTU5153	root	Spirochaetota	Leptospirae	Leptospirales	Leptospiraceae	Leptospira_A	Leptospira_A_vanthielii
OTU5154	root	Spirochaetota	Leptospirae	Leptospirales	Leptospiraceae	UBA2033	NA
OTU5155	root	Spirochaetota	Leptospirae	Leptospirales	Leptospiraceae	UBA2033	UBA2033_sp025360185
OTU5156	root	Spirochaetota	Leptospirae	Leptospirales	Leptospiraceae	UBA2033	UBA2033_sp002333425
OTU5157	root	Spirochaetota	Leptospirae	Leptospirales	Leptospiraceae	Leptospira	Leptospira_tipperaryensis
OTU5158	root	Spirochaetota	Leptospirae	Leptospirales	Leptonemataceae	JAEUSB01	JAEUSB01_sp021413825
OTU5159	root	Spirochaetota	Leptospirae	Turneriellales	Turneriellaceae	Turneriella	NA
OTU5160	root	Spirochaetota	Leptospirae	Turneriellales	Turneriellaceae	Turneriella	Turneriella_sp029561505
OTU5161	root	Spirochaetota	Leptospirae	Turneriellales	Turneriellaceae	Turneriella	Turneriella_parva
OTU5162	root	Spirochaetota	Spirochaetia	SZUA-6	DRHE01	MIBK01	MIBK01_sp001829505
OTU5163	root	Spirochaetota	Spirochaetia	Sphaerochaetales	Sphaerochaetaceae	Sphaerochaeta	Sphaerochaeta_globosa
OTU5164	root	Spirochaetota	UBA4802	UBA4802	UBA5550	RBG-16-49-21	RBG-16-49-21_sp022704585
OTU5165	root	Spirochaetota	JAHITG01	DYKD01	DYKD01	DYKD01	DYKD01_sp020722765
OTU5166	root	Deinococcota	Deinococci	Deinococcales	Deinococcaceae	Deinococcus	NA
OTU5167	root	Deinococcota	Deinococci	Deinococcales	Deinococcaceae	Deinococcus	Deinococcus_soli
OTU5168	root	Deinococcota	Deinococci	Deinococcales	Deinococcaceae	Deinococcus	Deinococcus_ficus
OTU5169	root	Deinococcota	Deinococci	Deinococcales	Deinococcaceae	Deinococcus	Deinococcus_hopiensis_A
OTU5170	root	Deinococcota	Deinococci	Deinococcales	Deinococcaceae	Deinococcus	Deinococcus_sp946222085
OTU5171	root	Deinococcota	Deinococci	Deinococcales	Deinococcaceae	Deinococcus	Deinococcus_sedimenti
OTU5172	root	Deinococcota	Deinococci	Deinococcales	Deinococcaceae	Deinococcus	Deinococcus_grandis
OTU5173	root	Deinococcota	Deinococci	Deinococcales	Deinococcaceae	Deinococcus	Deinococcus_sp002017875
OTU5174	root	Deinococcota	Deinococci	Deinococcales	Deinococcaceae	Deinococcus	Deinococcus_radiotolerans
OTU5175	root	Deinococcota	Deinococci	Deinococcales	Deinococcaceae	Deinococcus	Deinococcus_indicus
OTU5176	root	Deinococcota	Deinococci	Deinococcales	Deinococcaceae	Deinococcus	Deinococcus_geothermalis
OTU5177	root	Deinococcota	Deinococci	Deinococcales	Deinococcaceae	Deinococcus	Deinococcus_aquaticus
OTU5178	root	Deinococcota	Deinococci	Deinococcales	Trueperaceae	JAAYYF01	JAAYYF01_sp937907415
OTU5179	root	Deinococcota	Deinococci	Deinococcales	Thermaceae	Thermus	Thermus_scotoductus
OTU5180	root	Bacillota_A	NA	NA	NA	NA	NA
OTU5181	root	Bacillota_A	Clostridia	NA	NA	NA	NA
OTU5182	root	Bacillota_A	Clostridia	Peptostreptococcales	Acidaminobacteraceae	Fusibacter_C	Fusibacter_C_sp002441045
OTU5183	root	Bacillota_A	Clostridia	Peptostreptococcales	Peptostreptococcaceae	NA	NA
OTU5184	root	Bacillota_A	Clostridia	Peptostreptococcales	Peptostreptococcaceae	Romboutsia	NA
OTU5185	root	Bacillota_A	Clostridia	Peptostreptococcales	Peptostreptococcaceae	Intestinibacter	Intestinibacter_sp022780145
OTU5186	root	Bacillota_A	Clostridia	Peptostreptococcales	Anaerovoracaceae	UBA1426	UBA1426_sp022706625
OTU5187	root	Bacillota_A	Clostridia	Peptostreptococcales	Anaerovoracaceae	JAENWH01	JAENWH01_sp016650135
OTU5188	root	Bacillota_A	Clostridia	Peptostreptococcales	JAAYPU01	JAAYPU01	JAAYPU01_sp012519645
OTU5189	root	Bacillota_A	Clostridia	Clostridiales	NA	NA	NA
OTU5190	root	Bacillota_A	Clostridia	Clostridiales	Clostridiaceae	NA	NA
OTU5191	root	Bacillota_A	Clostridia	Clostridiales	Clostridiaceae	Clostridium	NA
OTU5192	root	Bacillota_A	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium_sp000435835
OTU5193	root	Bacillota_A	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium_saccharoperbutylacetonicum
OTU5194	root	Bacillota_A	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium_gasigenes
OTU5195	root	Bacillota_A	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium_chromiireducens
OTU5196	root	Bacillota_A	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium_butyricum_B
OTU5197	root	Bacillota_A	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium_beijerinckii_D
OTU5198	root	Bacillota_A	Clostridia	Clostridiales	Clostridiaceae	Clostridium_H	Clostridium_H_thermopalmarium
OTU5199	root	Bacillota_A	Clostridia	Clostridiales	Clostridiaceae	Clostridium_H	Clostridium_H_sp026738875
OTU5200	root	Bacillota_A	Clostridia	Clostridiales	Clostridiaceae	Clostridium_B	Clostridium_B_tyrobutyricum
OTU5201	root	Bacillota_A	Clostridia	Clostridiales	Clostridiaceae	Clostridium_B	Clostridium_B_ragsdalei
OTU5202	root	Bacillota_A	Clostridia	Clostridiales	Clostridiaceae	Clostridium_J	NA
OTU5203	root	Bacillota_A	Clostridia	Clostridiales	Caloramatoraceae	JARDZI01	JARDZI01_sp029240935
OTU5204	root	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	NA	NA
OTU5205	root	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Mobilitalea	Mobilitalea_luporum
OTU5206	root	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Mobilitalea	Mobilitalea_saccharofermentans
OTU5207	root	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Mobilitalea	Mobilitalea_hemicellulosilytica
OTU5208	root	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Mobilitalea	Mobilitalea_sp012519565
OTU5209	root	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Lacrimispora	Lacrimispora_algidixylanolytica
OTU5210	root	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Choladousia	Choladousia_sp021199655
OTU5211	root	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Bovifimicola	Bovifimicola_sp910583605
OTU5212	root	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Anaerocolumna	NA
OTU5213	root	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Acetatifactor	Acetatifactor_acetigignens
OTU5214	root	Bacillota_A	Clostridia	Lachnospirales	Cellulosilyticaceae	NA	NA
OTU5215	root	Bacillota_A	Clostridia	Oscillospirales	NA	NA	NA
OTU5216	root	Bacillota_A	Clostridia	Oscillospirales	Acutalibacteraceae	NA	NA
OTU5217	root	Bacillota_A	Clostridia	Oscillospirales	Acutalibacteraceae	Caproicibacter	Caproicibacter_melissae
OTU5218	root	Bacillota_A	Clostridia	Oscillospirales	Ethanoligenenaceae	Ruminiclostridium_D	Ruminiclostridium_D_cellulosi
OTU5219	root	Bacillota_A	Clostridia	Oscillospirales	UMGS1384	Allobutyricicoccus	Allobutyricicoccus_sp015067705
OTU5220	root	Bacillota_A	Clostridia	Tissierellales	Tissierellaceae	Tissierella_B	Tissierella_B_creatinini
OTU5221	root	Bacillota_A	Clostridia	Tissierellales	Sedimentibacteraceae	Sedimentibacter	Sedimentibacter_sp029239575
OTU5222	root	Bacillota_A	Clostridia	Tissierellales	Sedimentibacteraceae	Sedimentibacter	Sedimentibacter_sp028700795
OTU5223	root	Bacillota_A	Clostridia	Tissierellales	Tepidimicrobiaceae	Schnuerera	Schnuerera_sp021655095
OTU5224	root	Bacillota_A	Clostridia	Acetivibrionales	NA	NA	NA
OTU5225	root	Bacillota_A	Clostridia	Acetivibrionales	DTU013	DTU013	DTU013_sp023418915
OTU5226	root	Bacillota_A	Clostridia	Acetivibrionales	DTU013	DTU013	DTU013_sp012799845
OTU5227	root	Bacillota_A	Clostridia	Acetivibrionales	Acetivibrionaceae	Hungateiclostridium	Hungateiclostridium_sp012523755
OTU5228	root	Bacillota_A	Clostridia	Acetivibrionales	Acetivibrionaceae	Herbivorax	Herbivorax_sp012517995
OTU5229	root	Bacillota_A	Clostridia	Acetivibrionales	DSM-27016	Ruminiclostridium	Ruminiclostridium_sp023395575
OTU5230	root	Bacillota_A	Clostridia	Christensenellales	SZUA-584	DTFZ01	DTFZ01_sp023415915
OTU5231	root	Bacillota_A	Clostridia	Christensenellales	DUVY01	DUVY01	DUVY01_sp012840805
OTU5232	root	Bacillota_A	Clostridia	Christensenellales	DUVY01	DUVY01	DUVY01_sp012512255
OTU5233	root	Bacillota_A	Clostridia	Christensenellales	UMGS416	JAEYRA01	NA
OTU5234	root	Bacillota_A	Clostridia	Lutisporales	Lutisporaceae	GWB2-37-7	NA
OTU5235	root	Bacillota_A	Clostridia	Lutisporales	Lutisporaceae	BRH-c25	NA
OTU5236	root	Bacillota_A	Clostridia	Caldicoprobacterales	UBA3941	JAAYGY01	JAAYGY01_sp938003915
OTU5237	root	Bacillota_A	Clostridia	Caldicoprobacterales	Xylanivirgaceae	Xylanivirga	Xylanivirga_thermophila
OTU5238	root	Bacillota_A	Clostridia	JAAYHZ01	JAAYHZ01	JAAYHZ01	JAAYHZ01_sp012744235
OTU5239	root	Bacillota_A	Thermosediminibacteria	Thermosediminibacterales	Tepidanaerobacteraceae	DTU063	DTU063_sp012842445
OTU5240	root	Bacillota_A	Thermosediminibacteria	Thermosediminibacterales	Tepidanaerobacteraceae	DTU063	DTU063_sp001512695
OTU5241	root	Bacillota_G	NA	NA	NA	NA	NA
OTU5242	root	Bacillota_G	UBA4882	UBA10575	UBA10575	JAAYGG01	NA
OTU5243	root	Bacillota_G	UBA4882	UBA10575	UBA10575	JAAYGG01	JAAYGG01_sp012727895
OTU5244	root	Bacillota_G	UBA4882	UBA10575	UBA10575	JAAYGG01	JAAYGG01_sp012839115
OTU5245	root	Bacillota_G	UBA4882	UBA10575	UBA10575	Capillibacterium	Capillibacterium_sp012735135
OTU5246	root	Bacillota_G	UBA4882	UBA10575	UBA10575	Capillibacterium	Capillibacterium_sp012727425
OTU5247	root	Bacillota_G	UBA4882	UBA10575	UBA10575	Capillibacterium	Capillibacterium_thermochitinicola
OTU5248	root	Bacillota_G	UBA4882	UBA10575	UBA10575	JAAYGU01	JAAYGU01_sp012727535
OTU5249	root	Bacillota_G	UBA4882	UBA10575	UBA10575	JAAYGU01	JAAYGU01_sp029782135
OTU5250	root	Bacillota_G	UBA4882	UBA10575	UBA10575	DUOH01	DUOH01_sp012838955
OTU5251	root	Bacillota_G	UBA4882	UBA8346	UBA8346	NA	NA
OTU5252	root	Bacillota_G	UBA4882	UBA8346	UBA8346	JAAYHS01	NA
OTU5253	root	Bacillota_G	UBA4882	UBA8346	UBA8346	JAAYHS01	JAAYHS01_sp012735315
OTU5254	root	Bacillota_G	UBA4882	UBA8346	UBA8346	JAAYHS01	JAAYHS01_sp012728785
OTU5255	root	Bacillota_G	UBA4882	UBA8346	UBA8346	JAKOSX01	JAKOSX01_sp029776595
OTU5256	root	Bacillota_G	Limnochordia	NA	NA	NA	NA
OTU5257	root	Bacillota_G	Limnochordia	DTU080	RSA5	RSA7	RSA7_sp002919195
OTU5258	root	Bacillota_G	Limnochordia	DTU080	RSA5	RSA5	RSA5_sp002919235
OTU5259	root	Bacillota_G	Limnochordia	DTU080	JAAYLA01	JAAYLA01	JAAYLA01_sp012522135
OTU5260	root	Bacillota_G	Limnochordia	DTU080	JAAYLA01	CALKAQ01	CALKAQ01_sp937983075
OTU5261	root	Bacillota_G	Limnochordia	DTU080	DTU080	DULU01	DULU01_sp012840225
OTU5262	root	Bacillota_G	Limnochordia	DTU080	DTU080	DTU080	DTU080_sp001513395
OTU5263	root	Bacillota_G	Limnochordia	Limnochordales	ZCTH02-B6	CALJUZ01	CALJUZ01_sp003387805
OTU5264	root	Bacillota_G	Limnochordia	Limnochordales	ZCTH02-B6	ZCTH02-B6	ZCTH02-B6_sp017578085
OTU5265	root	Bacillota_G	Limnochordia	Limnochordales	Limnochordaceae	Limnochorda	Limnochorda_sp012799445
OTU5266	root	Bacillota_G	Limnochordia	DTU010	DTU010	DTU010	DTU010_sp900018335
OTU5267	root	Bacillota_G	Limnochordia	DTU010	DTU010	DTU010	DTU010_sp002391385
OTU5268	root	Bacillota_G	Limnochordia	DTU010	DTU010	JAAYMS01	JAAYMS01_sp937988745
OTU5269	root	Bacillota_G	Limnochordia	DTU010	DTU010	JAAYMS01	JAAYMS01_sp012521295
OTU5270	root	Bacillota_G	Limnochordia	DTU010	DTU012	DTU012	DTU012_sp900019385
OTU5271	root	Bacillota_G	Limnochordia	DTU087	DTU087	DTU087	DTU087_sp012839845
OTU5272	root	Bacillota_G	UBA5301	UBA5301	UBA5301	JAAYHC01	JAAYHC01_sp012735535
OTU5273	root	Bacillota_G	DTU065	DTU065	DTU065	DTU065	DTU065_sp001512545
OTU5274	root	Bacillota_G	DTU014	DTU014	DTU014	JAAYAB01	JAAYAB01_sp012719595
OTU5275	root	Bacillota_G	DTU014	DTU014	DTU014	DTU014	DTU014_sp900016865
OTU5276	root	Bdellovibrionota	NA	NA	NA	NA	NA
OTU5277	root	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	NA	NA	NA
OTU5278	root	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Bdellovibrionaceae	NA	NA
OTU5279	root	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Bdellovibrionaceae	Pseudobdellovibrio	NA
OTU5280	root	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Bdellovibrionaceae	Pseudobdellovibrio	Pseudobdellovibrio_qaytius
OTU5281	root	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Bdellovibrionaceae	Pseudobdellovibrio	Pseudobdellovibrio_sp020696855
OTU5282	root	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Bdellovibrionaceae	Pseudobdellovibrio	Pseudobdellovibrio_sp025449725
OTU5283	root	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Bdellovibrionaceae	Pseudobdellovibrio	Pseudobdellovibrio_sp023701385
OTU5284	root	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Bdellovibrionaceae	Pseudobdellovibrio	Pseudobdellovibrio_sp001771815
OTU5285	root	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	UBA1609	RBG-16-40-8	RBG-16-40-8_sp903833275
OTU5286	root	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	UBA1609	JALHOQ01	NA
OTU5287	root	Bdellovibrionota	Bacteriovoracia	Bacteriovoracales	Bacteriovoracaceae	NA	NA
OTU5288	root	Bdellovibrionota	Bacteriovoracia	Bacteriovoracales	Bacteriovoracaceae	UBA4096	NA
OTU5289	root	Bdellovibrionota	Bacteriovoracia	Bacteriovoracales	Bacteriovoracaceae	UBA4096	UBA4096_sp947451425
OTU5290	root	Bdellovibrionota	Bacteriovoracia	Bacteriovoracales	Bacteriovoracaceae	UBA4096	UBA4096_sp945890905
OTU5291	root	Bdellovibrionota	Bacteriovoracia	Bacteriovoracales	Bacteriovoracaceae	UBA4096	UBA4096_sp945885655
OTU5292	root	Bdellovibrionota	Bacteriovoracia	Bacteriovoracales	Bacteriovoracaceae	UBA4096	UBA4096_sp020048985
OTU5293	root	Bdellovibrionota	Bacteriovoracia	Bacteriovoracales	Bacteriovoracaceae	UBA4096	UBA4096_sp002482685
OTU5294	root	Bdellovibrionota	Bacteriovoracia	Bacteriovoracales	Bacteriovoracaceae	Bacteriovorax	NA
OTU5295	root	Bdellovibrionota	Bacteriovoracia	Bacteriovoracales	Bacteriovoracaceae	Bacteriovorax	Bacteriovorax_sp014376445
OTU5296	root	Bdellovibrionota	UBA1018	UBA1018	NA	NA	NA
OTU5297	root	Bdellovibrionota	UBA1018	UBA1018	UBA1018	NA	NA
OTU5298	root	Bdellovibrionota	UBA1018	UBA1018	UBA1018	JAMPXJ01	JAMPXJ01_sp023700925
OTU5299	root	Bdellovibrionota	Oligoflexia	Oligoflexales	RGVZ01	CAMAXT01	CAMAXT01_sp945862295
OTU5300	root	Myxococcota_A	UBA9160	NA	NA	NA	NA
OTU5301	root	Myxococcota_A	UBA9160	UBA9160	NA	NA	NA
OTU5302	root	Myxococcota_A	UBA9160	UBA9160	PR03	PR03	PR03_sp018262315
OTU5303	root	Myxococcota_A	UBA9160	UBA9160	PR03	PR03	PR03_sp003576805
OTU5304	root	Myxococcota_A	UBA9160	UBA9160	UBA4427	NA	NA
OTU5305	root	Myxococcota_A	UBA9160	UBA9160	UBA4427	UBA4427	NA
OTU5306	root	Myxococcota_A	UBA9160	UBA9160	SMWR01	NA	NA
OTU5307	root	Myxococcota_A	UBA9160	UBA9160	JAGQJR01	JAGQJR01	JAGQJR01_sp020430545
OTU5308	root	Myxococcota_A	UBA9160	SZUA-336	SZUA-336	NA	NA
OTU5309	root	Myxococcota_A	UBA9160	SZUA-336	SZUA-336	VGRW01	VGRW01_sp016875225
OTU5310	root	Desulfobacterota_D	UBA1144	UBA2774	UBA2774	NA	NA
OTU5311	root	Desulfobacterota_D	UBA1144	UBA2774	UBA2774	2-12-FULL-53-21	NA
OTU5312	root	Desulfobacterota_D	UBA1144	UBA2774	UBA2774	2-12-FULL-53-21	2-12-FULL-53-21_sp020027805
OTU5313	root	Desulfobacterota_D	UBA1144	UBA2774	UBA2774	2-12-FULL-53-21	2-12-FULL-53-21_sp001775255
OTU5314	root	Desulfobacterota_D	UBA1144	UBA2774	UBA2774	2-12-FULL-53-21	2-12-FULL-53-21_sp902826595
OTU5315	root	Desulfobacterota_D	UBA1144	UBA2774	CSP1-2	HRBIN37	HRBIN37_sp002898375
OTU5316	root	Chlamydiota	Chlamydiia	NA	NA	NA	NA
OTU5317	root	Chlamydiota	Chlamydiia	Chlamydiales	NA	NA	NA
OTU5318	root	Chlamydiota	Chlamydiia	Chlamydiales	Parachlamydiaceae	NA	NA
OTU5319	root	Chlamydiota	Chlamydiia	Chlamydiales	Parachlamydiaceae	JAJFUZ01	JAJFUZ01_sp021372155
OTU5320	root	Chlamydiota	Chlamydiia	Chlamydiales	Parachlamydiaceae	JAJTHR01	JAJTHR01_sp021298935
OTU5321	root	Chlamydiota	Chlamydiia	Chlamydiales	Parachlamydiaceae	JAJTHR01	JAJTHR01_sp013695355
OTU5322	root	Chlamydiota	Chlamydiia	Chlamydiales	Parachlamydiaceae	JABDEO01	JABDEO01_sp013287015
OTU5323	root	Chlamydiota	Chlamydiia	Chlamydiales	Parachlamydiaceae	Parachlamydia	Parachlamydia_sp002786175
OTU5324	root	Chlamydiota	Chlamydiia	Chlamydiales	Parachlamydiaceae	JACCRY01	JACCRY01_sp013817115
OTU5325	root	Chlamydiota	Chlamydiia	Chlamydiales	Parachlamydiaceae	JABDCW01	JABDCW01_sp013287905
OTU5326	root	Chlamydiota	Chlamydiia	Chlamydiales	Rhabdochlamydiaceae	PALSA-1444	PALSA-1444_sp017994195
OTU5327	root	Chlamydiota	Chlamydiia	Chlamydiales	Rhabdochlamydiaceae	Sacchariniichlamydia	Sacchariniichlamydia_sp020050965
OTU5328	root	Chlamydiota	Chlamydiia	Chlamydiales	Rhabdochlamydiaceae	Ga0074140	Ga0074140_sp016185065
OTU5329	root	Chlamydiota	Chlamydiia	Chlamydiales	SM23-39	NA	NA
OTU5330	root	Chlamydiota	Chlamydiia	Chlamydiales	SM23-39	2-02-FULL-45-22	2-02-FULL-45-22_sp001796285
OTU5331	root	Chlamydiota	Chlamydiia	Chlamydiales	Waddliaceae	Waddlia	Waddlia_chondrophila
OTU5332	root	Chlamydiota	Chlamydiia	Chlamydiales	FEN-1388	SZAS-7	SZAS-7_sp021372185
OTU5333	root	Bacillota_E	Thermaerobacteria	Thermaerobacterales	Thermaerobacteraceae	Thermaerobacter	NA
OTU5334	root	Bacillota_E	Thermaerobacteria	Thermaerobacterales	Thermaerobacteraceae	Thermaerobacter	Thermaerobacter_sp004634385
OTU5335	root	Bacillota_E	Thermaerobacteria	Thermaerobacterales	Thermaerobacteraceae	Thermaerobacter	Thermaerobacter_subterraneus
OTU5336	root	Bacillota_E	Thermaerobacteria	Thermaerobacterales	Thermaerobacteraceae	ZC4RG37	ZC4RG37_sp003242195
OTU5337	root	Bacillota_E	Thermaerobacteria	Thermaerobacterales	RSA17	RSA17	RSA17_sp002919105
OTU5338	root	Bacillota_E	Symbiobacteriia	Symbiobacteriales	Symbiobacteriaceae	Symbiobacterium	NA
OTU5339	root	Bacillota_E	Symbiobacteriia	Symbiobacteriales	Symbiobacteriaceae	Symbiobacterium	Symbiobacterium_thermophilum
OTU5340	root	Bacillota_E	Symbiobacteriia	Symbiobacteriales	Symbiobacteriaceae	Symbiobacterium	Symbiobacterium_terraclitae
OTU5341	root	Bacillota_E	Symbiobacteriia	Symbiobacteriales	Symbiobacteriaceae	Symbiobacterium	Symbiobacterium_sp003242675
OTU5342	root	Bacillota_E	DTU015	DTU015	DTU015	DTU015	DTU015_sp001513185
OTU5343	root	Bacillota_B	Syntrophomonadia	Syntrophomonadales	Syntrophomonadaceae	DTU018	DTU018_sp029550685
OTU5344	root	Bacillota_B	Syntrophomonadia	Syntrophomonadales	Syntrophomonadaceae	UBA1368	UBA1368_sp012511795
OTU5345	root	Bacillota_B	Syntrophomonadia	Syntrophomonadales	Syntrophomonadaceae	Syntrophomonas_A	Syntrophomonas_A_sp012729835
OTU5346	root	Bacillota_B	Syntrophomonadia	Syntrophomonadales	Syntrophomonadaceae	DTU019	DTU019_sp001512785
OTU5347	root	Bacillota_B	Syntrophomonadia	Syntrophomonadales	DTU052	DTU052	DTU052_sp029781825
OTU5348	root	Bacillota_B	Syntrophomonadia	Syntrophomonadales	DTU052	DTU052	DTU052_sp012728655
OTU5349	root	Bacillota_B	Syntrophomonadia	Syntrophomonadales	DTU052	DTU052	DTU052_sp002329495
OTU5350	root	Bacillota_B	Syntrophomonadia	Syntrophomonadales	DTU052	DTU052	DTU052_sp001512495
OTU5351	root	Bacillota_B	Desulfitobacteriia	Desulfitobacteriales	Desulfitobacteriaceae	NA	NA
OTU5352	root	Bacillota_B	Desulfitobacteriia	Desulfitobacteriales	Desulfitobacteriaceae	Desulfosporosinus	NA
OTU5353	root	Bacillota_B	Desulfitobacteriia	Desulfitobacteriales	Desulfitobacteriaceae	UBA2264	UBA2264_sp002347475
OTU5354	root	Bacillota_B	Desulfotomaculia	Desulfotomaculales	Pelotomaculaceae	Syntrophopropionicum	Syntrophopropionicum_sp002402945
OTU5355	root	Bacillota_B	Desulfotomaculia	Desulfotomaculales	Pelotomaculaceae	DTU098	DTU098_sp001512635
OTU5356	root	Bacillota_B	Peptococcia	Peptococcales	BICA1-8	UBA3933	UBA3933_sp002385805
OTU5357	root	Hydrogenedentota	Hydrogenedentia	Hydrogenedentiales	NA	NA	NA
OTU5358	root	Hydrogenedentota	Hydrogenedentia	Hydrogenedentiales	SLHB01	JAHDWY01	JAHDWY01_sp020849535
OTU5359	root	Hydrogenedentota	Hydrogenedentia	Hydrogenedentiales	SLHB01	JABWCD01	JABWCD01_sp020848835
OTU5360	root	Hydrogenedentota	Hydrogenedentia	Hydrogenedentiales	SLHB01	JACQVH01	JACQVH01_sp016209895
OTU5361	root	Hydrogenedentota	Hydrogenedentia	Hydrogenedentiales	GCA-2746185	VFKU01	VFKU01_sp009885415
OTU5362	root	Hydrogenedentota	Hydrogenedentia	Hydrogenedentiales	JAEUWI01	JACPGE01	JACPGE01_sp016182605
OTU5363	root	Krumholzibacteriota	Krumholzibacteria	LZORAL124-64-63	LZORAL124-64-63	NA	NA
OTU5364	root	Krumholzibacteriota	Krumholzibacteria	LZORAL124-64-63	LZORAL124-64-63	CAINDZ01	NA
OTU5365	root	Krumholzibacteriota	Krumholzibacteria	LZORAL124-64-63	LZORAL124-64-63	CAINDZ01	CAINDZ01_sp020049465
OTU5366	root	Krumholzibacteriota	Krumholzibacteria	LZORAL124-64-63	LZORAL124-64-63	Glo-17	NA
OTU5367	root	Krumholzibacteriota	Krumholzibacteria	LZORAL124-64-63	LZORAL124-64-63	Glo-17	Glo-17_sp022711765
OTU5368	root	Krumholzibacteriota	Krumholzibacteria	WVZY01	JAKEHA01	JAKEHA01	JAKEHA01_sp025923935
OTU5369	root	Desulfobacterota_G	Syntrophorhabdia	Syntrophorhabdales	Syntrophorhabdaceae	NA	NA
OTU5370	root	Desulfobacterota_G	Syntrophorhabdia	Syntrophorhabdales	Syntrophorhabdaceae	Delta-02	NA
OTU5371	root	Desulfobacterota_G	Syntrophorhabdia	Syntrophorhabdales	Syntrophorhabdaceae	Delta-02	Delta-02_sp903872255
OTU5372	root	Desulfobacterota_G	Syntrophorhabdia	Syntrophorhabdales	Syntrophorhabdaceae	Delta-02	Delta-02_sp002412715
